00:00:00-00:00:02 就這麼簡單跟你說
00:18:21-00:18:22 怎麼跟AI去
00:18:22-00:18:23 真正的去
00:18:23-00:18:25 能夠實現交互的一個做法
00:18:28-00:18:29 所以你看
00:18:29-00:18:30 我學習的方式
00:18:30-00:18:31 !直接進去
00:18:31-00:18:32 搜關鍵詞
00:18:32-00:18:33 看它代碼
00:18:33-00:18:34 對吧
00:18:34-00:18:35 乾了甚麼事情
00:18:35-00:18:36 哦
00:18:36-00:18:37 這個基本面分析師
00:18:37-00:18:38 要用甚麼
00:18:38-00:18:39 提示詞
00:18:39-00:18:40 全部寫在裡面啊
00:18:45-00:18:46 那這個line graph
00:18:46-00:18:48 就是說我要調用甚麼
00:18:48-00:18:49 工具節點
00:18:49-00:18:50 這個
00:18:50-00:18:51 這些調用了甚麼工具
00:18:51-00:18:52 你看這個
00:18:52-00:18:53 基本面分析師
00:18:53-00:18:54 調用了幾個
00:18:54-00:18:55 宏觀數據
00:18:55-00:18:56 等等等等啊
00:18:56-00:18:57 每個都是
00:18:57-00:18:58 你看新聞
00:18:58-00:18:59 基本面
00:18:59-00:19:00 社
00:19:00-00:19:01 社交媒體的
00:19:01-00:19:02 跟價格數據
00:19:02-00:19:04 它都是有些節點在的
00:19:06-00:19:07 所以這個給我很大的啓發
00:19:07-00:19:09 就是我現在在做一些
00:19:09-00:19:10 新的科研的項目
00:19:10-00:19:11 我就得想
00:19:11-00:19:13 怎麼把這些一些
00:19:13-00:19:15 跟大網星實時交互的
00:19:15-00:19:16 邏輯加進去
00:19:16-00:19:18 它能夠幫我發現更多新的東西
00:19:18-00:19:19 這就是
00:19:19-00:19:20 哎
00:19:20-00:19:21 大網星本身自己做不到
00:19:21-00:19:22 你要去
00:19:22-00:19:24 給它額外添加的一個功能
00:19:24-00:19:25 好
00:19:29-00:19:30 所以我說Multi-Agent
00:19:30-00:19:32 甚麼時候才值得啊
00:19:32-00:19:33 到底你這些
00:19:33-00:19:35 證據能不能拆啊
00:19:35-00:19:36 各有各的輸入
00:19:36-00:19:37 對吧
00:19:37-00:19:38 你有很多指揮
00:19:38-00:19:41 你才真的要用到那個Multi-Agent
00:19:41-00:19:43 這個項目就很
00:19:43-00:19:44 給你一個很好的案例啊
00:19:44-00:19:46 每個Agent
00:19:46-00:19:47 其實負責的數據是不一樣的
00:19:47-00:19:49 所以它是可以拆開來工作的
00:19:49-00:19:51 然後交付出來的
00:19:51-00:19:52 又要結合在一起
00:19:52-00:19:53 一起分析
00:19:53-00:19:54 對吧
00:19:55-00:19:57 然後結論怎麼生成出來的
00:19:57-00:19:58 對吧
00:19:58-00:19:59 它需要花多少時間
00:20:00-00:20:01 它都有追溯的
00:20:01-00:20:02 那個
00:20:02-00:20:04 因為把那個報告寫的很詳細的
00:20:04-00:20:06 每個人是甚麼觀點的
00:20:06-00:20:08 最後辯論是甚麼樣子的
00:20:08-00:20:09 來源是甚麼樣的
00:20:10-00:20:12 最後買不買肯定是你自己負責了
00:20:12-00:20:13 對啊
00:20:13-00:20:14 因為賺了虧了
00:20:14-00:20:16 跟這個Agent沒有關係啊
00:20:22-00:20:23 所以我自己呢
00:20:23-00:20:25 就是除了在它上面學習以外
00:20:25-00:20:28 我也可以在它上面做個次開發
00:20:28-00:20:30 就是讓它下次我給它一個命令
00:20:30-00:20:31 它自己就知道
00:20:31-00:20:33 選哪個十隻股票
00:20:33-00:20:34 做甚麼
00:20:34-00:20:35 做甚麼分析
00:20:35-00:20:37 最後給一個甚麼報告啊
00:20:44-00:20:45 以前的開發啊
00:20:45-00:20:46 跟大家可能想象的非常難
00:20:46-00:20:47 現在我就講了一句話
00:20:47-00:20:48 沒了
00:20:48-00:20:49 幫我開發二十隻
00:20:49-00:20:50 這二十隻
00:20:50-00:20:51 對吧
00:20:51-00:20:52 然後要甚麼報告
00:20:52-00:20:53 講清楚
00:20:53-00:20:54 我調的Supra Power
00:20:54-00:20:55 就做
00:20:55-00:20:56 就完了
00:20:58-00:20:59 數據你看
00:20:59-00:21:00 你可以下到本地
00:21:00-00:21:01 你也可以創一個數據庫
00:21:01-00:21:03 如果你平次高的話
00:21:03-00:21:04 你可以創數據庫來保存
00:21:04-00:21:06 最後的報告就告訴你
00:21:06-00:21:08 哪些是要
00:21:08-00:21:10 這個是
00:21:10-00:21:11 財報還沒出來的時候的
00:21:11-00:21:12 那十字的對比啊
00:21:12-00:21:13 這個是拿著
00:21:13-00:21:14 這個是要
00:21:14-00:21:16 增加持有
00:21:16-00:21:17 這個是要減倉等等
00:21:17-00:21:19 它給了你足夠的數據跟原因
00:21:19-00:21:21 你可以打開看這個報告
00:21:21-00:21:22 這個報告
00:21:22-00:21:31 出海的一個產品
00:21:31-00:21:34 那我這邊再推薦給大家一個skill啊
00:21:34-00:21:35 這個是中文的也有英文的
00:21:35-00:21:36 兩個
00:21:36-00:21:41 它把市面上一百多個職業全部蒸餾了
00:21:41-00:21:45 有了有做前端的有做小紅書有做平台銀銀有做增長的
00:21:45-00:21:47 你就直接上去複製下來就可以了
00:21:47-00:21:49 然後讓它幹活 OK
00:21:49-00:21:51 我這邊給它稍微打開一下
00:21:51-00:21:53 這個還是比較厲害的
00:21:57-00:22:00 我剛有的時候不會用KITHO什麼直接都不會用
00:22:00-00:22:03 它就是個網站打開
00:22:07-00:22:10 Agency Agent
00:22:11-00:22:16 這個是英文版的下面這個是中文版的
00:22:16-00:22:18 你看一下這個
00:22:18-00:22:20 你都不用想著
00:22:20-00:22:22 剛剛有人問怎麼克隆它下來的
00:22:22-00:22:25 不需要你把這個連接發給Codex
00:22:25-00:22:26 對吧
00:22:26-00:22:28 我需要用它裡面的哪一個
00:22:28-00:22:30 你就把它克隆下來就完了
00:22:30-00:22:33 現在不用自己不用打開命令行的
00:22:34-00:22:36 各行各業啊
00:22:36-00:22:37 100多個職業嚇死了
00:22:37-00:22:39 全部被蒸餾了
00:22:41-00:22:43 你真的有什麼
00:22:43-00:22:46 你直接把這個企業的所有的很專業的一些
00:22:46-00:22:47 步驟
00:22:47-00:22:48 工作步驟
00:22:48-00:22:50 有時候我才做過網站
00:22:50-00:22:51 打開
00:22:51-00:22:52 它就是
00:22:52-00:22:54 就是前端開發的SKILL啊
00:22:54-00:22:55 它做什麼的
00:22:55-00:22:56 對嗎
00:22:56-00:22:58 我就把它拒絕一下接以後它就完了
00:22:58-00:22:59 它就知道了
00:22:59-00:23:01 這就是其中一個HUNNESS
00:23:01-00:23:04 你把這就是Agent.MD
00:23:04-00:23:06 就告訴這個文件
00:23:06-00:23:07 告訴大模型
00:23:07-00:23:09 這個文件就是幹這個網頁的
00:23:09-00:23:12 所以我其實你看到我做了報名網站啊
00:23:12-00:23:13 知識網站啊
00:23:13-00:23:15 這些網站你們都有用過了嘛
00:23:15-00:23:17 報名啊還有學習啊對吧
00:23:17-00:23:18 !都是分開的文件夾裡面
00:23:18-00:23:21 就是這些Agent在裡面幹活
00:23:21-00:23:24 我每次都一句話馬上更新改版
00:23:24-00:23:26 發布等等
00:23:26-00:23:28 那就是把這個
00:23:28-00:23:30 沒有報料的它自己給你安裝
00:23:30-00:23:33 但是你得在電腦上專門給它設置
00:23:33-00:23:34 一些文件夾
00:23:34-00:23:35 啊對對對就是工作區嘛
00:23:35-00:23:37 我這邊再簡單弄一下
00:23:37-00:23:39 你看這電腦我平時沒用的
00:23:39-00:23:42 因為筆記本我就是拿來玩的
00:23:42-00:23:44 沒有工作的文件在裡面啊
00:23:44-00:23:48 你就在這裡創建一個新對話
00:23:48-00:23:49 這個
00:23:49-00:23:52 我們去做設計
00:23:52-00:23:53 或者是印件的版本
00:23:53-00:23:55 所有的內容都要成功
00:23:55-00:23:56 不需要
00:23:56-00:23:57 不需要
00:23:57-00:23:58 不需要
00:23:58-00:24:00 誒?你說我把手禮這裡
00:24:00-00:24:02 創建一個項目對吧
00:24:02-00:24:03 !然後呢
00:24:03-00:24:05 你就在這裡
00:24:05-00:24:07 其實跟管理文件是一樣的
00:24:07-00:24:09 你就在這裡創建一個員工
00:24:09-00:24:10 你說是
00:24:10-00:24:11 是
00:24:14-00:24:17 做網站的對吧
00:24:17-00:24:18 website
00:24:18-00:24:19 ok
00:24:19-00:24:20 進去了是吧
00:24:20-00:24:21 確認
00:24:25-00:24:26 好進來了
00:24:26-00:24:27 ok
00:24:27-00:24:28 然後第一步幹什麼啊
00:24:30-00:24:31 搞hanness啊
00:24:31-00:24:32 對吧
00:24:32-00:24:33 第一步直接說
00:24:34-00:24:36 不是不是
00:24:36-00:24:37 直接給他這個
00:24:37-00:24:38 因為你這個
00:24:39-00:24:40 你看看那個
00:24:44-00:24:48 因為你想做前端
00:24:48-00:24:50 所以你要講到前端相關的描述
00:24:50-00:24:51 對吧
00:24:51-00:24:53 然後呢
00:24:53-00:24:54 這裡有前端嗎
00:24:54-00:24:55 對吧
00:24:55-00:24:56 開開
00:24:56-00:24:58 直接複製給他就可以了
00:25:01-00:25:02 對吧
00:25:02-00:25:03 這個
00:25:03-00:25:04 這個
00:25:04-00:25:05 這個是GPT Conex啊
00:25:05-00:25:06 對啊
00:25:06-00:25:08 就你直接說人話就行了
00:25:08-00:25:09 我需要
00:25:09-00:25:10 我需要
00:25:10-00:25:12 我自己就GPT
00:25:12-00:25:14 我就不需要再裝了可財
00:25:14-00:25:15 不用可財
00:25:15-00:25:16 現在可財了
00:25:16-00:25:17 這裡面就有
00:25:17-00:25:19 哦
00:25:19-00:25:20 哦
00:25:20-00:25:21 我就
00:25:21-00:25:22 我都
00:25:22-00:25:23 我
00:25:23-00:25:24 反正你就是把這個佈置給他
00:25:24-00:25:26 幫我穿一個這個
00:25:26-00:25:27 這個
00:25:27-00:25:28 穿一個這個
00:25:28-00:25:29 這個
00:25:29-00:25:30 這個
00:25:30-00:25:31 這個
00:25:31-00:25:34 也是
00:25:34-00:25:35 對
00:25:35-00:25:36 他他拿出來
00:25:36-00:25:37 在你的文件裡面創一個
00:25:37-00:25:38 下次再用的時候
00:25:38-00:25:40 他就知道這個文件是幹啥的了
00:25:40-00:25:41 哦
00:25:41-00:25:42 哦
00:25:42-00:25:43 待會吧
00:25:43-00:25:46 待會吧
00:25:46-00:25:48 我們先過一遍啊
00:25:48-00:25:50 因為這裡你看工程部啊
00:25:50-00:25:53 前端後台 AI工程師什麼都有開發師
00:25:53-00:25:55 下面設計部
00:25:55-00:25:56 OK
00:25:56-00:25:57 UI設計師
00:25:57-00:25:58 這些我們不知道是啥
00:25:58-00:25:59 UX
00:25:59-00:26:00 好
00:26:00-00:26:01 提思池工程師
00:26:01-00:26:02 我這個還有個新星
00:26:02-00:26:03 就你想做啥你就來
00:26:03-00:26:16 複補貼
00:26:33-00:26:34 都可以
00:26:34-00:26:37 然後你就把這個複製到一個很低就可以了
00:26:37-00:26:37 對吧
00:26:37-00:26:40 小黃樹團隊有哪些人在啊
00:26:40-00:26:41 哦
00:26:41-00:26:42 運營的
00:26:42-00:26:45 品牌手部的內容創造
00:26:45-00:26:47 等等啊
00:26:47-00:26:49 但我大部分工作是科研工作
00:26:49-00:26:52 所以我其實暫時沒有太玩這種
00:26:52-00:26:53 媒體的東西
00:26:53-00:26:55 所以我後面也會也會
00:26:55-00:26:56 試起來
00:26:56-00:26:58 因為很多東西就是AI做的對吧
00:26:58-00:26:59 你只要多一台電腦
00:26:59-00:27:00 多一台CPU
00:27:00-00:27:01 多一台服務器
00:27:01-00:27:03 不就是多一個員工嗎
00:27:03-00:27:04 我在嘗試了
00:27:04-00:27:05 但是肯定做的沒有
00:27:05-00:27:07 做了很多年的的好啊
00:27:07-00:27:08 對啊對
00:27:09-00:27:10 OK
00:27:10-00:27:11 其實我們也就是
00:27:11-00:27:13 把我們平常啊
00:27:13-00:27:15 就無私的給大家
00:27:15-00:27:16 傳授這些知識啊
00:27:16-00:27:17 OK
00:27:17-00:27:19 看看大家還有甚麼問題這一塊
00:27:19-00:27:20 OK
00:27:31-00:27:42 因為呢我們本身文件裡面的總文件
