00:00:00-00:00:01 還可以提問
00:19:14-00:19:16 然後231
00:19:16-00:19:17 51610等等
00:19:17-00:19:19 那怎麼去安裝呢
00:19:19-00:19:21 其實你就告訴他
00:19:21-00:19:24 假設你覺得哪個是你聽起來比較靠譜的
00:19:24-00:19:26 類似於說我現在已經安裝了1
00:19:26-00:19:28 我現在要安裝2
00:19:28-00:19:30 請你幫我安裝2到本地
00:19:30-00:19:34 我覺得這兩天跟大家這樣操作完
00:19:34-00:19:36 大家會覺得就用AI真的是一件很簡單的事情
00:19:36-00:19:39 因為就是一直在跟它調整的
00:19:39-00:19:40 沒有甚麼特別的技能
00:19:40-00:19:43 純純脆脆都是一些非常
00:19:43-00:19:44 叫甚麼
00:19:44-00:19:45 就是你們可能不知道
00:19:45-00:19:47 Agent是能幫你解決這個問題的
00:19:47-00:19:50 你們可能都覺得手動要去把這個東西安裝到本地
00:19:50-00:19:52 昨天也是有個同學問我
00:19:52-00:19:54 怎麼把我那個SKILL安裝到本地
00:19:54-00:19:56 其實就把那個SKILL撥到
00:19:56-00:19:57 你的Word里裡面去
00:19:57-00:19:59 然後告訴他幫我安裝到本地
00:19:59-00:20:02 然後他每次就可以在這個裡面把它調用出來
00:20:02-00:20:04 就這麼簡單
00:20:04-00:20:05 好
00:20:05-00:20:06 他就會告訴我安裝完成
00:20:06-00:20:09 其實我現在就是可以去把
00:20:09-00:20:10 你看他有兩個了
00:20:10-00:20:11 這裡有一個去AI位
00:20:11-00:20:12 應該還有一個
00:20:12-00:20:13 我看一下他在哪裡
00:20:13-00:20:15 一般來說有個問題叫甚麼
00:20:15-00:20:17 叫做你新安裝的SKILL
00:20:17-00:20:18 在這個地方是不會呈現的
00:20:18-00:20:21 這個時候你要做一件事情叫重啓
00:20:21-00:20:23 這是把它推出來
00:20:23-00:20:25 再進去它才會加載這個SKILL
00:20:25-00:20:26 OK
00:20:26-00:20:28 這也是一個操作的細節
00:20:28-00:20:29 有人會問我
00:20:29-00:20:31 所以講到這裡
00:20:31-00:20:32 我已經
00:20:32-00:20:33 大家的這個跑出來SKILL
00:20:33-00:20:34 已經跑出來了
00:20:34-00:20:36 跑出來的檢局的時候
00:20:36-00:20:39 就是就是有說幫你們找到一些SKILL
00:20:39-00:20:41 有一些不多
00:20:41-00:20:43 可能在這跑的過程中沒關係
00:20:43-00:20:45 那找到了之後
00:20:45-00:20:46 不一定是好用的
00:20:46-00:20:47 我要跟大家講
00:20:47-00:20:49 就是有一些東西
00:20:49-00:20:50 其實還是要基於你自己的需求
00:20:50-00:20:52 去進行一些改造的
00:20:52-00:20:54 所以所以我說我覺得說這個部分
00:20:54-00:20:55 還是蠻重要
00:20:55-00:20:57 你要自己學會去改造一些東西
00:20:57-00:21:00 然後你看就是很簡單
00:21:00-00:21:02 你去HIPPOP上面去收收到了之後
00:21:02-00:21:04 幫我安裝一下這個SKILL到盤地
00:21:04-00:21:05 就OK了
00:21:05-00:21:07 那這一步其實就是我們所說的
00:21:07-00:21:09 關於SKILL其中的一個最重要的地方
00:21:09-00:21:11 就是你怎麼去找到一個好用的SKILL
00:21:11-00:21:13 然後第二步叫做
00:21:13-00:21:16 第二步叫做怎麼去做一個SKILL
00:21:16-00:21:21 就是今天你會發現你找到的東西都不好用的情況下
00:21:21-00:21:24 你怎麼給自己去做一個這樣的好用的工具
00:21:24-00:21:26 那我們說做SKILL
00:21:26-00:21:28 其實也很簡單
00:21:28-00:21:30 我們把這些東西都理解的相對簡單一點
00:21:30-00:21:33 跟我們做提示詞是一樣的事情
00:21:33-00:21:35 那當時我們做提示詞
00:21:35-00:21:37 剛才跟他講了怎麼做一個提示詞
00:21:37-00:21:39 先把任務講一遍
00:21:39-00:21:41 講完之後跟他battle幾輪
00:21:41-00:21:42 battle完了之後
00:21:42-00:21:43 讓他幫我把提示詞輸出出來
00:21:43-00:21:44 對不對
00:21:44-00:21:46 那做SKILL邏輯有點像
00:21:46-00:21:48 但過程有點不同的是
00:21:48-00:21:50 你要先跑完一個任務
00:21:50-00:21:53 就等於說你要先跑一個任務
00:21:53-00:21:54 讓他從頭到尾乾完
00:21:54-00:21:57 類似於說你今天想讓他做一份營銷的方案
00:21:57-00:22:00 你今天想要讓他去幫你跑一張圖
00:22:00-00:22:04 你今天想要幫你去出一份甚麼樣給客戶的一份報告
00:22:04-00:22:06 你要讓他從頭到尾跑完
00:22:06-00:22:10 當你發現他跑了這份報告非常不錯的時候
00:22:10-00:22:13 那這個時候就可以跟他說一句話
00:22:13-00:22:17 把我們剛才所做的所有事情做成一個SKILL
00:22:17-00:22:20 當我每次輸入一個甚麼東西的時候
00:22:20-00:22:22 都能做一份相同的內容
00:22:22-00:22:23 其實非常簡單
00:22:23-00:22:27 然後在這個過程中最重要的是甚麼
00:22:27-00:22:29 就是一定是要去做
00:22:29-00:22:34 就當他給你這些東西是一定完全靠譜的情況下
00:22:34-00:22:35 你才去做這些事情
00:22:35-00:22:37 不然他會把一些不好的東西記錄進去
00:22:37-00:22:40 我也給大家看一下他的整個過程
00:22:40-00:22:42 好比說前段時間
00:22:42-00:22:46 我經常會有些朋友來問我一些生意問題
00:22:46-00:22:47 因為我們做策劃的嘛
00:22:47-00:22:48 做策略的
00:22:48-00:22:50 然後我們有朋友就是想去開
00:22:50-00:22:52 去開線下的精量店
00:22:52-00:22:57 有沒有想之前的時候特別想去做一些精量的
00:22:57-00:22:59 就是這種線下酒館
00:22:59-00:23:00 然後或者是咖啡生意的同學
00:23:00-00:23:02 有的話可以舉個手啊
00:23:02-00:23:03 有沒有這樣想法的人
00:23:03-00:23:05 當時他覺得問了我一個問題
00:23:05-00:23:06 叫做
00:23:06-00:23:07 哎呀
00:23:07-00:23:10 就是我在甚麼地方開一家這樣的精量酒館
00:23:10-00:23:12 你覺得有沒有搞得到
00:23:12-00:23:14 他經常會問我一些這樣的一些想法
00:23:14-00:23:17 那我當時其實我內心是有一些判斷的
00:23:17-00:23:18 但你也知道啊
00:23:18-00:23:19 跟朋友之間聊這個天
00:23:19-00:23:22 你越不讓他做他就越想做這些事情
00:23:22-00:23:23 對不對
00:23:23-00:23:26 所以我不能以我的角度去告訴他這件事情
00:23:26-00:23:28 可能大概率是搞不成的
00:23:28-00:23:30 那為甚麼呢
00:23:30-00:23:32 那其中怎麼去分析呢
00:23:32-00:23:34 那我就會想說
00:23:34-00:23:35 那我呢
00:23:35-00:23:36 因為他經常會問我這些問題
00:23:36-00:23:38 那我會就想說
00:23:38-00:23:40 能不能他每次問我的時候
00:23:40-00:23:41 我都能通過一個skill
00:23:41-00:23:45 出一份看起來比較專業的報告給他
00:23:45-00:23:47 打消他一些念頭
00:23:47-00:23:48 或者是去幫他加強一些
00:23:48-00:23:50 他可能應該補足的地方
00:23:50-00:23:53 然後你會看到我跟AI的溝通
00:23:53-00:23:54 我有一個朋友
00:23:54-00:23:55 他特別想開一下精量酒館
00:23:55-00:23:57 我想說服他用一份方案
00:23:57-00:23:59 但是也不瞎並論
00:23:59-00:24:00 就幫他分析清楚
00:24:00-00:24:02 甚麼樣的內容會好一點
00:24:02-00:24:04 然後他就會去思考
00:24:04-00:24:06 思考完了之後就是說
00:24:06-00:24:07 首先財務部分
00:24:07-00:24:08 最核心的三件事情是
00:24:08-00:24:10 初始投入
00:24:10-00:24:11 然後模型等等
00:24:11-00:24:13 他中間應該引掉了很多東西
00:24:13-00:24:14 在這個過程中
00:24:14-00:24:15 他會告訴我
00:24:15-00:24:17 比如說好問題
00:24:17-00:24:18 幫朋友做決策
00:24:18-00:24:19 最有效的方式
00:24:19-00:24:20 不是幫他下結論
00:24:20-00:24:22 而是把關鍵變量全部鋪開
00:24:22-00:24:23 然後他就通過一張圖
00:24:23-00:24:24 幫我把這件事情
00:24:24-00:24:25 全部亮出來
00:24:25-00:24:27 然後上面是整體框架
00:24:27-00:24:28 一市場的分析
00:24:28-00:24:30 二是產品的定位
00:24:30-00:24:31 三是宣次與空間
00:24:31-00:24:32 是財務模型
00:24:32-00:24:34 比如說運營體系等等
00:24:34-00:24:35 這些東西做完了
00:24:35-00:24:36 好
00:24:36-00:24:37 然後假設
00:24:37-00:24:38 我覺得他這個東西做的
00:24:38-00:24:39 說的是對的
00:24:39-00:24:40 假設我覺得
00:24:40-00:24:41 他說的這個東西還不錯
00:24:41-00:24:43 那我怎麼把它包裝成一個SQ
00:24:43-00:24:45 你會看到我的畫面很簡單
00:24:45-00:24:48 我希望把這個流程沈澱成一個SQ
00:24:48-00:24:51 當我今天輸入一件我想做的小生意的時候
00:24:51-00:24:53 你可以通過問我幾個問題
00:24:53-00:24:54 然後乾嘛也好
00:24:54-00:24:55 就是做一份報告
00:24:55-00:24:56 建一個問題
00:24:56-00:24:57 交放到我的桌面
00:24:57-00:24:58 就這麼簡單
00:24:58-00:24:59 你就可以做一個SQ出來
00:24:59-00:25:00 但是在這個裡面
00:25:00-00:25:02 你要加載一個甚麼東西
00:25:02-00:25:03 也是像我們剛才一樣
00:25:03-00:25:06 我們在搜SQ的時候
00:25:06-00:25:07 我們要加載甚麼SQ
00:25:07-00:25:08 叫FindSQ
00:25:08-00:25:10 就是找SQ這個SQ
00:25:10-00:25:12 那今天我要做一個SQ
00:25:12-00:25:14 怎麼讓他說遵守一個
00:25:14-00:25:17 比較好的原則去做出來這個SQ呢
00:25:17-00:25:18 那我們也會加載一個SQ
00:25:18-00:25:20 叫SQ Create
00:25:20-00:25:22 這個SQ應該來說
00:25:22-00:25:23 在這個裡面也是有的
00:25:23-00:25:24 你們也可以收得到
00:25:24-00:25:27 類似說像這個技能的SQ Hub裡面
00:25:27-00:25:29 你收CREATE
00:25:29-00:25:31 C-R-A-T-O-R
00:25:32-00:25:34 它應該就會出來
00:25:34-00:25:35 OK的有沒有
00:25:35-00:25:37 好可能還要前面加SQ
00:25:37-00:25:44 是不是對
00:25:44-00:25:49 在中間的SQ Hub裡面
00:25:49-00:25:50 有非常多SQ Reader
00:25:50-00:25:52 隨便找一個加載去
00:25:52-00:25:57 然後大家可以嘗試一下
00:25:57-00:25:59 就是用它去做一個SQ出來
00:25:59-00:26:00 就是用它去做一個SQ出來
00:26:08-00:26:09 這裡就是說你們可以
00:26:09-00:26:11 這一步大家做完了嗎
00:26:11-00:26:12 做完了請舉個手
00:26:12-00:26:15 就是把SQ Creator
00:26:15-00:26:17 加到自己的電腦裡面去
00:26:19-00:26:20 OK好
00:26:20-00:26:21 然後我們點新建任務
00:26:21-00:26:23 依舊還是要選擇工作空間
00:26:23-00:26:25 然後把SQ Creator調出來
00:26:25-00:26:27 因為前面的那個溝通的部分
00:26:27-00:26:28 我就不讓它做的
00:26:28-00:26:30 就直接告訴它
00:26:30-00:26:31 你今天有甚麼樣的想法
00:26:31-00:26:33 你讓它幫你做一個SQ出來
00:26:33-00:26:34 就OK了
00:26:36-00:26:37 但是你還是前提是甚麼
00:26:37-00:26:40 是你這個想法一定是充足的清楚
00:26:40-00:26:42 就是能夠非常充足的
00:26:42-00:26:43 跟它表達清楚
00:26:43-00:26:45 這個SQ才能這樣做出來
00:26:49-00:26:50 大家有找不到SQ Creator
00:26:50-00:26:51 這個SQ嗎
00:26:51-00:26:53 我看到好像有些人找不到
00:26:53-00:26:54 首先第一點是
00:26:54-00:26:57 專家技能連接器裡面的這個技能
00:26:57-00:26:58 大家點進去
00:26:58-00:27:00 然後在SQ Hub裡面
00:27:00-00:27:03 這個地方輸入SQ Creator
00:27:33-00:27:38 其實對於D&I來說很多的操作是很簡單的
00:27:38-00:27:40 難的點是在于思考
00:27:40-00:27:43 難的點是正好去把這些事情想清楚
