00:00:00-00:00:02 那我今天就從開發的角度啊
00:16:50-00:16:53 那這個也就是一句提示時就生出來了
00:16:58-00:16:59 也就五秒鐘
00:16:59-00:17:00 但是這不要全的啊
00:17:00-00:17:01 OK
00:17:01-00:17:02 那這個是甚麼意思呢
00:17:02-00:17:04 就是說現在啊
00:17:04-00:17:05 你可以看到
00:17:05-00:17:07 無論刷抖音還是看小公書
00:17:07-00:17:09 你看到現在的那些創業者啊
00:17:09-00:17:11 年紀越來越小了
00:17:11-00:17:14 可能16歲就一定說我做了幾個APP了
00:17:14-00:17:15 13歲的都有
00:17:15-00:17:17 所以我們說現在不再次問你工作
00:17:17-00:17:19 有多少年經驗啊
00:17:19-00:17:20 或怎麼樣的
00:17:20-00:17:21 執行有多厲害啊
00:17:21-00:17:22 沒有這回事了
00:17:22-00:17:24 問的就是你的AI年紀
00:17:24-00:17:26 到底你用過深度用過AI多久
00:17:26-00:17:28 開發過甚麼產品
00:17:28-00:17:29 有沒有用度反饋
00:17:29-00:17:30 對吧
00:17:30-00:17:32 是不是真的能跑起來一個穩定的系統
00:17:32-00:17:34 這個才是最關鍵的事情啊
00:17:34-00:17:36 所以我們叫AI-Edge啊
00:17:38-00:17:40 所以老提示來學習的時候呢
00:17:40-00:17:43 可能要先判斷一下自己的AI年紀到哪裡了
00:17:43-00:17:44 像昨天好幾個朋友啊
00:17:44-00:17:46 就覺得我都已經會用Codex了
00:17:46-00:17:48 我還要學更好的東西
00:17:48-00:17:49 那到底是學甚麼呢
00:17:49-00:17:51 你的AI年紀到哪裡了
00:17:51-00:17:52 有的可能
00:17:52-00:17:53 哇我昨天才剛裝WiBody
00:17:53-00:17:54 對吧
00:17:54-00:17:55 那你就要知道
00:17:55-00:17:57 我下一步到底要去
00:17:57-00:17:59 怎麼更深的去實操啊
00:17:59-00:18:00 好
00:18:04-00:18:06 那這個就看P-P-P就可以了
00:18:06-00:18:07 開始使用
00:18:07-00:18:08 我要多用啊
00:18:08-00:18:09 一定要多用
00:18:09-00:18:10 那再來呢
00:18:10-00:18:13 就是怎麼要把你的工作變得更強
00:18:13-00:18:14 OK
00:18:14-00:18:16 能夠那一個任務除了重復
00:18:16-00:18:17 能夠Loop起來啊
00:18:17-00:18:18 給它一個指令
00:18:18-00:18:19 它就跑通了
00:18:19-00:18:20 那下一步呢
00:18:20-00:18:22 它如果你想加一些新功能
00:18:22-00:18:24 你怎麼加到這個工作流裡面
00:18:24-00:18:26 讓它再一次升級
00:18:26-00:18:27 然後又跑通
00:18:27-00:18:28 這是第二等級的
00:18:28-00:18:30 第三等級呢
00:18:30-00:18:31 就甚至是它能夠
00:18:31-00:18:32 提升你的工作
00:18:32-00:18:33 幫你做一些
00:18:33-00:18:34 厲害的決策
00:18:34-00:18:47 好
00:18:47-00:18:49 還有另外一個要學習的就是
00:18:49-00:18:51 我們從技術的角度來
00:18:51-00:18:53 給大家教這幾個東西
00:18:53-00:18:55 怎麼讓模型它的反應更快
00:18:55-00:18:56 更省錢
00:18:56-00:18:57 然後呢
00:18:57-00:18:58 我們用HONNESS
00:18:58-00:18:59 讓它做得更准
00:18:59-00:19:01 這個是我重點會講的內容啊
00:19:01-00:19:02 大家可以
00:19:05-00:19:06 好說今天的課啊
00:19:06-00:19:08 到講了那麼多
00:19:08-00:19:09 五官重要的話
00:19:09-00:19:11 今天才把布魯秀出來了
00:19:11-00:19:13 待會我想的課
00:19:13-00:19:14 主要有五張啊
00:19:14-00:19:15 第一張是
00:19:15-00:19:16 怎麼樣用上最強的模型
00:19:16-00:19:17 先拿到結果
00:19:17-00:19:20 你才能真正理解AI的邊界
00:19:20-00:19:22 不要你用了一個很弱的模型
00:19:22-00:19:23 然後你會
00:19:23-00:19:24 哎呀
00:19:24-00:19:25 生存出來的東西還不如我自己做的
00:19:25-00:19:26 對吧
00:19:26-00:19:28 那你就不懂它真正搶到哪裡去了
00:19:28-00:19:29 對吧
00:19:29-00:19:30 是怎麼理解你的任務
00:19:30-00:19:32 來選擇我們說的架構
00:19:32-00:19:34 這個很重要啊
00:19:34-00:19:35 然後第三個呢
00:19:35-00:19:36 是我們怎麼樣
00:19:36-00:19:37 讓AI能夠
00:19:37-00:19:39 調工具
00:19:39-00:19:40 因為現在的工具呢
00:19:40-00:19:41 不再是開發給人用的
00:19:41-00:19:43 是開發給你的Agen用的
00:19:43-00:19:45 並且它可以通過你的自然語言
00:19:45-00:19:46 就可以去用了
00:19:46-00:19:48 那怎麼讓它自動用
00:19:48-00:19:49 第四個呢
00:19:49-00:19:52 是怎麼讓它能夠通過你的控制
00:19:52-00:19:55 能夠穩定的交付你想要的東西
00:19:55-00:19:57 甚至是自動化的去交付
00:19:57-00:19:58 第五個呢
00:19:58-00:20:03 怎麼更厲害的去創造一個多Agen的一個項目啊
00:20:09-00:20:11 好
00:20:11-00:20:12 開始講脫口秀了
00:20:12-00:20:13 OK
00:20:13-00:20:14 第一個呢
00:20:14-00:20:15 是我們說的
00:20:15-00:20:17 其實它有點像神仙的對吧
00:20:17-00:20:18 為甚麼像神仙
00:20:18-00:20:19 我們來看一下
00:20:27-00:20:29 這也是直接幫忙做的
00:20:29-00:20:31 就是說現在有很多的模型都很厲害
00:20:31-00:20:33 能夠幫你解決很多問題
00:20:33-00:20:36 但是你會發現它們都有這幾個特徵啊
00:20:36-00:20:37 第一個是
00:20:37-00:20:39 有求必應對吧
00:20:39-00:20:40 你只要能付錢
00:20:40-00:20:41 你問它
00:20:41-00:20:42 它就能給你
00:20:42-00:20:43 跟神仙一樣對吧
00:20:43-00:20:45 你這個巴仙的位置看啊
00:20:45-00:20:47 你只要去廟里求它
00:20:47-00:20:50 它就會給你有求必應啊
00:20:50-00:20:53 第二個它擁有很高超的智商
00:20:53-00:20:54 OK
00:20:54-00:20:55 第三個是
00:20:55-00:20:57 可能要給點香油錢對吧
00:20:57-00:20:59 你要去求它
00:20:59-00:21:00 你要給香油錢
00:21:00-00:21:01 第四個呢
00:21:01-00:21:03 它是真的住在雲上面的
00:21:03-00:21:04 在天障的
00:21:04-00:21:06 因為我們說雲服務器嘛
00:21:06-00:21:07 你要調用它
00:21:07-00:21:08 你要調用雲的功能啊
00:21:08-00:21:09 OK
00:21:09-00:21:10 所以我們說的大模型呢
00:21:10-00:21:12 它就是會產出
00:21:12-00:21:13 能力強
00:21:13-00:21:14 然後呢
00:21:14-00:21:15 是一個
00:21:15-00:21:17 要乾活就沒有免費加班
00:21:17-00:21:19 一定要給錢的一個
00:21:19-00:21:20 一個員工啊
00:21:20-00:21:21 然後第四個呢
00:21:21-00:21:22 它是在雲端的
00:21:25-00:21:26 好
00:21:26-00:21:27 我從技術的角度
00:21:27-00:21:28 再簡單講一下
00:21:28-00:21:29 這個大模型啊
00:21:29-00:21:30 為甚麼說Transform了
00:21:30-00:21:32 它有這麼強的人力
00:21:32-00:21:33 你第一代呢
00:21:33-00:21:34 我們說你是給它文字
00:21:34-00:21:35 對吧
00:21:35-00:21:36 然後呢
00:21:36-00:21:37 它
00:21:37-00:21:39 只能跟你聊天吧
00:21:39-00:21:41 然後怎麼樣升級到現在
00:21:41-00:21:42 還能執行呢
00:21:42-00:21:43 簡單講一下
00:21:43-00:21:44 第一個
00:21:44-00:21:45 它用了一種做法
00:21:45-00:21:46 因為計算機呢
00:21:46-00:21:48 是沒辦法直接知道
00:21:48-00:21:49 自然語言的
00:21:49-00:21:50 它需要呢
00:21:50-00:21:51 比如說老闆這個詞
00:21:51-00:21:52 它會變成了詞項量
00:21:52-00:21:53 所以你們呢
00:21:53-00:21:55 如果聽到甚麼
00:21:55-00:21:56 呃
00:21:56-00:21:57 embedding這種事情
00:21:57-00:21:58 這種內容啊
00:21:58-00:22:00 它就變成一個多維的一個
00:22:00-00:22:01 坐標
00:22:01-00:22:02 ok
00:22:02-00:22:04 然後變成了坐標以後呢
00:22:04-00:22:06 它本身訓練好的模型呢
00:22:06-00:22:08 是很多維度的一些
00:22:08-00:22:09 一些
00:22:09-00:22:10 內容啊
00:22:10-00:22:11 它會串聯
00:22:11-00:22:12 概率上
00:22:12-00:22:13 你說這個詞
00:22:13-00:22:14 是跟甚麼有意思
00:22:14-00:22:16 然後會找到那個維度
00:22:16-00:22:18 相近的東西
00:22:18-00:22:19 理解你的意圖
00:22:19-00:22:20 最後呢
00:22:20-00:22:22 輸出一個最高概率的一些文字啊
00:22:22-00:22:24 那通過現在有Codex啊
00:22:24-00:22:26 小龍蝦這種東西
00:22:26-00:22:28 它可以用把你的詞
00:22:28-00:22:29 輸出的意圖跟文字
00:22:29-00:22:31 轉化成直行的步驟
00:22:31-00:22:32 所以呢
00:22:32-00:22:33 你每一次調用
00:22:33-00:22:35 你其實就是把你的自然語言
00:22:35-00:22:36 給到大模型
00:22:36-00:22:37 它去搜索
00:22:37-00:22:38 最後呢
00:22:38-00:22:39 給你一段文字
00:22:39-00:22:40 通過Agent
00:22:40-00:22:43 變成執行任務和步驟
00:22:43-00:22:45 最後把你執行出來了
00:22:45-00:22:46 那多模態呢
00:22:46-00:22:48 你無論是輸入聲音
00:22:48-00:22:49 圖片
00:22:49-00:22:50 它都能變成詞相用
00:22:50-00:22:51 最後呢
00:22:51-00:22:52 能夠找到你的意圖
00:22:52-00:22:53 所以怎麼省token
00:22:53-00:22:54 這裡就很明確了
00:22:54-00:22:56 你只要給的東西夠明確
00:22:56-00:22:57 它就不用到處找了
00:22:57-00:22:58 它也不用
00:22:58-00:23:00 不理解你甚麼意思
00:23:00-00:23:01 或者做錯對吧
00:23:01-00:23:02 所以呢
00:23:02-00:23:03 無論是POM
00:23:03-00:23:04 還是Context
00:23:04-00:23:05 這種上下文和
00:23:05-00:23:06 和意圖
00:23:06-00:23:07 你要表達得很清楚
00:23:07-00:23:08 那你就不會亂燒
00:23:08-00:23:09 不可能
00:23:09-00:23:13 所以馬斯克呢
00:23:13-00:23:15 講過一個例子是甚麼呢
00:23:15-00:23:16 就說啊
00:23:16-00:23:17 現在
00:23:17-00:23:19 人跟大模型的區別啊
00:23:19-00:23:22 就跟大模型跟大星星一樣的邏輯
00:23:22-00:23:23 對
00:23:23-00:23:26 因為你不可能有計算機這麼多維度的一個知識
00:23:26-00:23:27 儲備量
00:23:27-00:23:28 所以我們呢
00:23:28-00:23:29 一定要
00:23:29-00:23:30 對吧
00:23:30-00:23:32 多跟他求求
00:23:32-00:23:34 求求求給我點甚麼工作
00:23:34-00:23:36 多去求你就不會用AI了
00:23:36-00:23:37 好
00:23:37-00:23:46 所以你們也要理解一下你們電腦的一些調用的過程啊
00:23:46-00:23:48 就如果你是發資料啊
00:23:48-00:23:49 發各種文字給他
00:23:49-00:23:51 那有些模型
00:23:51-00:23:52 它是
00:23:52-00:23:53 對某些模型
00:23:53-00:23:54 它是比較差的
00:23:54-00:23:55 所以我們一般用的就是
00:23:55-00:23:57 那個GPT
00:23:57-00:23:58 5.6
00:23:58-00:23:59 那你輸入了
00:23:59-00:24:00 無論是資料
00:24:00-00:24:01 代碼
00:24:01-00:24:02 圖片
00:24:02-00:24:04 它都能夠變成Transformer的向量
00:24:04-00:24:05 給你返回一些
00:24:05-00:24:07 你要的一個一個執行目標
00:24:07-00:24:09 那每一步的都是收錢的
00:24:09-00:24:10 OK
00:24:17-00:24:18 所以這裡就來了
00:24:18-00:24:19 那我先問一個問題啊
00:24:19-00:24:21 我先不打開這個頁面
00:24:21-00:24:22 讓大家思考一下
00:24:22-00:24:23 那你覺得
00:24:23-00:24:25 如果我們在AI面前是大星星的話
00:24:25-00:24:27 那他有甚麼不能做的呀
00:24:27-00:24:29 那他不是啥都做了就好了呀
00:24:29-00:24:30 他有甚麼邊界
00:24:30-00:24:31 他有甚麼部署
00:24:31-00:24:33 有沒有人可以
00:24:33-00:24:34 思考一下
00:24:34-00:24:36 嗯
00:24:36-00:24:38 他真的無敵了嗎
00:24:38-00:24:39 情感上
00:24:39-00:24:40 情感上
00:24:40-00:24:41 情感上
00:24:41-00:24:43 情感上是一個
00:24:43-00:24:45 還有嗎
00:24:45-00:24:46 沒有慾望
00:24:46-00:24:47 沒有慾望
00:24:47-00:24:48 沒有慾望
00:24:48-00:24:49 要賺你錢了
00:24:49-00:24:50 都沒有慾望
00:24:50-00:24:51 他有甚麼不足呢
00:24:51-00:24:52 我們到底要做甚麼呢
00:24:52-00:24:53 他沒有創造性
00:24:53-00:24:54 他沒有創造性
00:24:54-00:24:55 也是
00:24:55-00:24:56 所以我們要搞清楚啊
00:24:56-00:24:57 他有試到很強的邊界啊
00:24:57-00:24:58 第一個他有可能會是錯的
00:24:58-00:25:00 因為他畢竟是一個干預輸出嘛
00:25:00-00:25:01 你如果用的更差的模型
00:25:01-00:25:02 他出的干預就更高了
00:25:02-00:25:03 OK
00:25:03-00:25:06 所以我們第一個我們要有一些人工審核的環節
00:25:06-00:25:07 保證他不會出錯
00:25:07-00:25:09 出很離谷的錯
00:25:09-00:25:10 第二個呢
00:25:10-00:25:12 它是沒有你企業的私有化數據的啊
00:25:12-00:25:13 OK
00:25:13-00:25:14 我們這個要檢索啊
00:25:14-00:25:17 更差的模型,它錯的概率就更高了
00:25:17-00:25:21 所以我們第一個要有一些人工審核的環節
00:25:21-00:25:24 保證它不會出錯,出很離譜的錯
00:25:24-00:25:28 第二個呢,它是沒有你企業的私有化數據的
00:25:29-00:25:32 我們這個叫檢索,Reachible
00:25:32-00:25:35 就是怎麼樣檢索到你公司本來有的私有數據
00:25:35-00:25:38 還有一些memory,你公司是做啥的
00:25:38-00:25:40 有甚麼成本啊,費用啊,他也不可能知道啊
00:25:40-00:25:43 對吧,所以你要提供這些讓AI更懂你
00:25:43-00:25:46 所以為甚麼經常人家在抖音上面都說
00:25:46-00:25:48 啊,我怎麼教你搭知識庫啊,wag
00:25:48-00:25:52 wag那個增強檢索啊等等的一些東西
00:25:52-00:25:53 為甚麼讓你做這些
00:25:53-00:25:57 因為AI確實沒辦法完全能理解你的意圖啊
00:25:57-00:26:00 那第三個是它也沒有實時的數據
00:26:00-00:26:06 比如說像像紅總說我調那些小紅樹的API來拿那個實時數據
00:26:06-00:26:08 為甚麼我要做這個事情啊
00:26:08-00:26:10 因為你問AI它就是沒有啊,對吧
00:26:10-00:26:13 所以我要去不斷的search
00:26:13-00:26:16 不斷的寫API去讀取這些數據
00:26:16-00:26:18 甚至現在我們說有HCP了
00:26:18-00:26:20 就是能夠讓模型呢
00:26:20-00:26:22 統一的去自動化調用了一些工具了
00:26:22-00:26:26 那第三個它也不,第四個啊
00:26:26-00:26:28 它也不受控制,說實在了
00:26:28-00:26:29 如果你不寫Hunners
00:26:29-00:26:31 跟不告訴它要用甚麼工具的話
00:26:31-00:26:33 它可能就亂來了
00:26:33-00:26:37 可能生成出來的東西不是你想要也沒有按照你的風格的要求啊
00:26:37-00:26:43 所以這個呢就是我們試到要真正去學習的東西啊
00:26:47-00:26:49 好,再來我們還要看懂模型啊
00:26:49-00:26:54 就是說有時候你用的時候說啊怎麼這麼慢啊怎麼那麼貴啊怎麼那麼笨對吧
00:26:54-00:26:57 那我們去哪裡看這個信息呢
00:26:57-00:27:00 有一個網站啊,我這裡沒有,就artificial.ai啊
00:27:00-00:27:03 artificial.ai
00:27:03-00:27:10 這個網站就是實時的公佈 比如說這個月又出新模型 下個月又出一個新模型 那它這個象限怎麼看呢?
00:27:10-00:27:29 這裡呢 這個位置就是最厲害 最強的 也是最貴的 因為下面這個是價格 重軸是它的自商 那為什麼你看啊 GPT 的它是性價比 這個領域就屬於性價比最高的綠色 它又聰明 又不貴 是吧 那這個呢
00:27:29-00:27:32 我們那個騰訊裡面做遊戲的朋友
00:27:32-00:27:35 他說我一個月可能差8000美金左右
00:27:35-00:27:37 他就是用CALCODE的
00:27:37-00:27:38 因為時代貴
00:27:38-00:27:40 但是反攻率低啊
00:27:40-00:27:40 對吧
00:27:40-00:27:41 我只要
