00:00:00-00:00:04 以及agent在Lobardy上面應該怎麼去使用
00:18:45-00:18:46 想提問一下大家
00:18:46-00:18:48 為甚麼要新建一個任務
00:18:48-00:18:51 為甚麼不在剛才那個裡面去
00:18:51-00:18:52 去直接把
00:18:52-00:18:53 再做一個行業調研
00:18:53-00:18:57 昨天應該有告訴過大家
00:18:57-00:19:00 因為當我們在同一個窗口裡面
00:19:00-00:19:02 去運行這件事情的時候
00:19:02-00:19:05 它會受到上面的東西的混淆
00:19:05-00:19:08 我們上面已經問過了你要調研的是地產行業
00:19:08-00:19:11 那它有可能就會受到那一部分的一些混淆
00:19:11-00:19:15 所以當我們在做一些分開的任務的時候
00:19:15-00:19:18 我們最好就是在旁邊新建一個任務
00:19:18-00:19:20 把這個提示詞混在進去
00:19:20-00:19:22 然後你再告訴他說
00:19:22-00:19:23 最紫定的行業進行谷析
00:19:23-00:19:25 那這個行業我會告訴他
00:19:25-00:19:26 假設是
00:19:26-00:19:29 那是說最紫定的行業
00:19:29-00:19:31 我想想想快銷行業吧
00:19:31-00:19:33 那快銷還是有點辦
00:19:33-00:19:34 我想想想
00:19:34-00:19:37 就是各戶加電
00:19:37-00:19:41 電飯包
00:19:41-00:19:42 更細一點
00:19:42-00:19:44 更細一點
00:19:44-00:19:49 然後它就會基於我們剛才產出的這份東西
00:19:49-00:19:53 去給我出一份電飯包的市場的行業的調研
00:19:53-00:19:54 所以發現一件事沒有
00:19:54-00:19:58 就是我給你們的那一份HTML的提示詞裡面
00:19:58-00:20:02 它其實好像看起來都是很複雜的東西
00:20:02-00:20:05 但複雜的也是在於我們的行業經驗
00:20:05-00:20:08 但其實生產一個這樣的提示詞
00:20:08-00:20:09 它不是一件難的事情
00:20:09-00:20:10 OK
00:20:10-00:20:13 然後它會因為我們中間有一些問題
00:20:13-00:20:15 所以在這個過程中你可以去選擇
00:20:15-00:20:16 我可以告訴他
00:20:16-00:20:18 這些你可以自己去判斷
00:20:18-00:20:19 不要去問我
00:20:20-00:20:22 有的時候你在網巴里溝通的時候
00:20:22-00:20:24 他下面有坦出一些框
00:20:24-00:20:26 昨天有一些同學其實是沒有去看這些框的
00:20:26-00:20:28 然後就會覺得好像怎麼卡在了
00:20:28-00:20:29 這個地方
00:20:29-00:20:30 因為一般坦出這些框的時候
00:20:30-00:20:32 是它的一個設定
00:20:32-00:20:34 就是它遇到了一些
00:20:34-00:20:35 一定要回答的時候
00:20:35-00:20:37 它會列出選項
00:20:37-00:20:38 你可以選擇它的選項
00:20:38-00:20:40 也可以在下面這個第四的地方
00:20:40-00:20:41 你直接問他
00:20:41-00:20:42 你直接告訴他
00:20:42-00:20:43 你不要去問我
00:20:43-00:20:44 或者你有一些其他的補充
00:20:44-00:20:46 你可以加進去
00:20:46-00:20:48 然後我因為現在在演示
00:20:48-00:20:50 所以我就不需要那個準確
00:20:50-00:20:51 我就只需要告訴他說
00:20:51-00:20:52 你可以自己去判斷
00:20:52-00:20:53 不要去問我
00:20:53-00:20:55 然後他就會基於這個事情
00:20:55-00:20:57 去幫我去搜索各種資料
00:20:57-00:20:58 你看他的過程
00:20:58-00:20:59 他已經去看到了
00:20:59-00:21:03 美地 舒博厄 酒陽 米加 相應
00:21:03-00:21:04 等等那些品牌
00:21:04-00:21:05 對吧
00:21:05-00:21:08 然後就開始去各路調研
00:21:08-00:21:11 調研電漢包市場的基本面
00:21:11-00:21:12 調研 產業鏈 利潤分飛
00:21:12-00:21:13 調研甚麼東西
00:21:13-00:21:15 所以你發現沒有
00:21:15-00:21:19 我的重點在於讓大家看到這份調研出來的報告
00:21:19-00:21:22 而在於我們前面那個環節
00:21:22-00:21:24 到底怎麼一步一步
00:21:24-00:21:29 產出了一個能拿來做深度的行業研究的提示詞
00:21:29-00:21:29 第一步
00:21:29-00:21:32 我先去跟AI做了一件甚麼事情
00:21:32-00:21:33 叫做 Group Home
00:21:33-00:21:34 對吧
00:21:34-00:21:35 我先去探索了一下
00:21:35-00:21:37 我說我要給一個老闆做行業的相關調研
00:21:37-00:21:39 今天我可能調研的是房地產
00:21:39-00:21:41 明天因為我要接觸的客戶是快銷
00:21:41-00:21:44 後天我要接觸的客戶是個這種客戶
00:21:44-00:21:45 那不同的
00:21:45-00:21:48 那我就需要一個行業專家的分析的提示詞
00:21:48-00:21:51 然後我通過一個口語化的語言
00:21:51-00:21:53 我告訴他我要做這樣的一件事情
00:21:53-00:21:54 他就會跟我討論
00:21:54-00:21:55 那在討論的過程中
00:21:55-00:21:58 我就會把我自己想要的事情告訴他
00:21:58-00:22:00 然後他就會說
00:22:00-00:22:01 原來是這樣分析
00:22:01-00:22:03 然後我最後再告訴他一件事情
00:22:03-00:22:04 叫做
00:22:04-00:22:06 那這樣的提示詞
00:22:06-00:22:08 請你給我一份這樣的提示詞
00:22:08-00:22:10 他就會幫你把這件提示詞寫好
00:22:10-00:22:12 然後你拿著這個提示詞
00:22:12-00:22:14 新開一個窗口
00:22:14-00:22:16 我們剛才新開
00:22:16-00:22:17 我們看一下
00:22:17-00:22:18 新開窗口分
00:22:18-00:22:20 是不是就沒選這個
00:22:20-00:22:24 每天還可以擬100的積分
00:22:24-00:22:26 可以去擬一下
00:22:26-00:22:33 在這個裡面
00:22:33-00:22:33 對
00:22:33-00:22:37 然後再拿剛才的這個提示詞
00:22:37-00:22:38 去改裡面的關鍵因素
00:22:38-00:22:41 然後他就可以慢慢的去把這個報告寫出來
00:22:41-00:22:42 他現在已經在開始寫了
00:22:42-00:22:44 我們剛才說是電漢包的這個報告
00:22:44-00:22:48 所以整個的鏈路非常簡單
00:22:48-00:22:51 其實通過了多久
00:22:51-00:22:53 其實也就幾分鐘的時間
00:22:53-00:22:56 就能夠產出一個還不錯可以用的提示詞
00:22:56-00:22:59 等一下我們再過來看這個報告吧
00:22:59-00:23:02 OK大家再回顧一下這條鏈路
00:23:02-00:23:05 大家一定要把這個鏈路深深的刻在這些腦子里
00:23:05-00:23:06 它是我們說
00:23:06-00:23:09 我覺得學AI這件事情
00:23:09-00:23:11 它不單單是在學工具
00:23:11-00:23:13 不是在學用法
00:23:13-00:23:14 以及不是學信息差
00:23:14-00:23:16 它是學一種AI的素顏
00:23:16-00:23:18 它跟我們去學習是一樣的
00:23:18-00:23:19 學以前的語言
00:23:19-00:23:20 數學 英語
00:23:20-00:23:21 為甚麼有人可以說
00:23:21-00:23:24 快速的去寫出一條好的作文
00:23:24-00:23:27 是因為它掌握了跟語言這種文字
00:23:27-00:23:29 去溝通的一種基本的素顏
00:23:29-00:23:31 那AI也是一樣的
00:23:31-00:23:34 它目前作為一個非常蓬勃發展的學科
00:23:34-00:23:36 我們也要掌握與它溝通的一種方式
00:23:36-00:23:39 那其實這個其實就是一個很基礎的一個
00:23:39-00:23:41 我們說在過程中
00:23:41-00:23:43 我們總去跟AI溝通
00:23:43-00:23:44 我們所有的問題都可以通過Agent
00:23:44-00:23:45 去給我們回答
00:23:45-00:23:47 然後只不過在過程中
00:23:47-00:23:48 我們自己要去糾正
00:23:48-00:23:50 以及類似說第二步的地方
00:23:50-00:23:52 我們自己要去糾正
00:23:52-00:23:53 我們自己要去告訴AI
00:23:53-00:23:55 哪個地方對哪個地方不對
00:23:55-00:23:56 然後基於這件事情
00:23:56-00:23:58 我今天要闡述一個提示詞
00:23:58-00:24:00 我就去闡運一個提示詞
00:24:00-00:24:02 然後讓AI去執行任務
00:24:02-00:24:03 執行完了之後去復盤
00:24:03-00:24:06 復盤完了之後再回來修改你的提示詞
00:24:06-00:24:09 很多的工作都可以通過這樣的一條電路
00:24:09-00:24:10 來解決掉它
00:24:10-00:24:12 OK
00:24:12-00:24:13 講到這裡
00:24:13-00:24:14 我們再講幾個
00:24:14-00:24:16 讓好用的一個提示詞的小技巧
00:24:16-00:24:19 我相信也有很多人在試面上
00:24:19-00:24:21 或者說之前有聽說過的
00:24:21-00:24:23 第一個東西就是角色的引入
00:24:23-00:24:25 就是你在聽你的
00:24:25-00:24:26 就是內學的時候
00:24:26-00:24:28 你當你不知道怎麼去跟AI溝通的時候
00:24:28-00:24:29 最好的辦法就是甚麼
00:24:29-00:24:32 就是讓他去假設一個專業的人
00:24:32-00:24:33 不能說他沒用
00:24:33-00:24:36 但是確實還是在
00:24:36-00:24:38 就是在我們不知道一件事情的時候
00:24:38-00:24:40 多說這樣一句話
00:24:40-00:24:42 可能能起到一些不錯的反饋
00:24:42-00:24:45 第二就是說
00:24:45-00:24:46 少樣本的提示
00:24:46-00:24:47 甚麼叫少樣本的提示呢
00:24:47-00:24:48 就好比昨天
00:24:48-00:24:50 我們在做那個文案的時候
00:24:50-00:24:50 大家還記得嗎
00:24:50-00:24:53 我們文案的第一個技能是甚麼
00:24:53-00:24:56 是當我們不知道要怎麼去讓他寫這些文案
00:24:56-00:24:57 但是我們有樣本的時候
00:24:57-00:24:58 我們乾嘛
00:24:58-00:24:59 把樣本給到他
00:24:59-00:25:02 所以AI是會學習樣本這件事情的
00:25:02-00:25:05 例如說我在生一張圖的時候
00:25:05-00:25:08 我不知道怎麼去讓圖變得更好看
00:25:08-00:25:10 或者是我想要那個調性的圖
00:25:10-00:25:11 我不知道怎麼形容
00:25:11-00:25:12 那這個時候最好的做法是甚麼
00:25:12-00:25:15 上傳一張相似的圖給他就OK了
00:25:15-00:25:16 所以少樣本提示
00:25:16-00:25:18 或者叫做舉例子
00:25:18-00:25:20 用一個跟圖數大家來點點的話
00:25:20-00:25:20 就是舉例子
00:25:20-00:25:22 它就是一個很好用的做法
00:25:23-00:25:25 那第三就是叫流程鏈
00:25:25-00:25:26 甚麼叫流程鏈
00:25:26-00:25:27 就是我們做一件事情
00:25:27-00:25:29 一定會有第一步做甚麼
00:25:29-00:25:30 第二步做甚麼
00:25:30-00:25:31 第三步做甚麼
00:25:31-00:25:32 第四步做甚麼
00:25:32-00:25:34 當我們給一個任務給到AI的時候
00:25:34-00:25:36 他是很聰明的
00:25:36-00:25:38 他知道怎麼樣去
00:25:38-00:25:40 一步兩步三步往下走
00:25:40-00:25:41 但有可能
00:25:41-00:25:44 他自以為是的那個步驟
00:25:44-00:25:47 實際上是不符合你的業務流程的
00:25:47-00:25:47 舉個例子
00:25:47-00:25:48 例如說寫方案
00:25:48-00:25:50 有的時候寫方案的時候
00:25:50-00:25:52 他是先給你結論
00:25:52-00:25:53 再給你論據
00:25:53-00:25:55 而且論據會藏得比較深
00:25:55-00:25:58 那這個其實是不符合我們去乾嘛
00:25:58-00:26:01 去跟一個人提案時候的狀態
00:26:01-00:26:03 我們不可能先告訴一個老闆說
00:26:03-00:26:05 這個事情你就應該這樣乾
00:26:05-00:26:06 那為甚麼
00:26:06-00:26:09 然後再好像是來補充結論的
00:26:09-00:26:12 我們更應該讓老闆體會到的一件事情
00:26:12-00:26:12 是甚麼
00:26:12-00:26:13 是第一步
00:26:13-00:26:16 因為為甚麼我們看到了甚麼東西
00:26:16-00:26:18 這裡面有甚麼樣的一些趨勢
00:26:18-00:26:21 最後我們覺得這件事情應該怎麼乾
00:26:21-00:26:24 所以這是我們在對一件事情的看的標準
00:26:24-00:26:25 所以流程鏈
00:26:25-00:26:27 就是我們要去告訴AI
00:26:27-00:26:28 你應該第一步做甚麼
00:26:28-00:26:29 第二步做甚麼
00:26:29-00:26:30 第三步做甚麼
00:26:30-00:26:34 尤其對於一些非常高精尖的行業的時候
00:26:34-00:26:36 這個技巧是有一個重要的
00:26:36-00:26:38 當你發現AI一直回答不准你的問題的時候
00:26:38-00:26:40 有可能就這個地方出了問題
00:26:40-00:26:43 那第四就是我們昨天所說的分析後防解
00:26:43-00:26:45 對於一些語言也好
00:26:45-00:26:46 對一些代碼也好
00:26:46-00:26:49 對於一些甚至內容的生產也好
00:26:49-00:26:53 很重要的就是如果說純粹的去給它一個樣板
00:26:53-00:26:54 去做這個事情
00:26:54-00:26:57 它很多時候會盡可能的全操下去
00:26:57-00:26:59 我把裡面的關鍵的文字
00:26:59-00:27:01 我把裡面的關鍵的段落
00:27:01-00:27:04 我把這張圖的這些原數全部放進去
00:27:04-00:27:16 所以我們會有一個介紹,先分析,分析完了得到原則,再去往下錄。這樣的話能極大避免上一個參考物對這件事情的影響。
00:27:16-00:27:31 第四是分塊與組合,有的時候我們要講一個概念叫做我們能看到這樣的一個窗口嗎?大家要知道所有的對話框,它其實都是一個窗口。
00:27:31-00:27:34 那上下的窗口是有限的
00:27:34-00:27:35 大家要理解這個概念
00:27:35-00:27:37 甚麼叫有限呢
00:27:37-00:27:40 就是它能容納的東西是有限的
00:27:40-00:27:41 當東西太多的時候
