00:00:00-00:00:01 做出一個七八糟的東西出來
00:16:45-00:16:46 就是這個月
00:16:46-00:16:48 員工用的AI的Token
00:16:48-00:16:49 費用怎麼這麼貴
00:16:49-00:16:49 是吧
00:16:49-00:16:51 到底用在哪裡了
00:16:51-00:16:52 有沒有創到收益
00:16:52-00:16:54 那我怎麼來做一個
00:16:54-00:16:55 財務的Agent呢
00:16:57-00:16:58 好
00:16:58-00:17:00 這裡呢
00:17:00-00:17:00 你看
00:17:00-00:17:02 我已經把數據弄好了呀
00:17:03-00:17:05 打開這個數據
00:17:05-00:17:06 打開這個數據
00:17:06-00:17:08 我已經下轉到本地了
00:17:08-00:17:09 其實呢
00:17:09-00:17:11 哎
00:17:11-00:17:12 哎
00:17:12-00:17:16 就在這裡
00:17:16-00:17:18 第一周
00:17:18-00:17:23 我只是把一個
00:17:23-00:17:25 最常規的一個創建
00:17:25-00:17:27 Hunners的步驟給他演示一下
00:17:27-00:17:28 就你在做一個項目之前
00:17:28-00:17:29 啥也不要做
00:17:29-00:17:30 就是把案子寫好
00:17:31-00:17:32 OK
00:17:32-00:17:33 我看到一個報表啊
00:17:33-00:17:35 這個是我老闆給我發的
00:17:35-00:17:35 哦
00:17:35-00:17:36 說這個月
00:17:36-00:17:39 員工用了6800的那個Token費用啊
00:17:39-00:17:39 然後呢
00:17:39-00:17:40 是效率
00:17:40-00:17:40 花了
00:17:40-00:17:42 省了260個小時
00:17:42-00:17:44 然後數據的完整都呢
00:17:44-00:17:45 是94%啊
00:17:46-00:17:47 這個是
00:17:47-00:17:49 你會返回工作的
00:17:49-00:17:50 你會返回工作的
00:17:50-00:17:52 然後有沒有被驗證過
00:17:52-00:17:53 主要就是這個Bug
00:17:53-00:17:54 Bug
00:17:54-00:17:56 那個返回率
00:17:56-00:17:57 有9次啊
00:17:57-00:17:58 這個月
00:17:58-00:17:58 好
00:17:58-00:17:59 那你看到這個表
00:17:59-00:18:00 我想說
00:18:00-00:18:02 老闆每周都給我發這個哦
00:18:02-00:18:03 那我可能每周都自己弄滿的
00:18:03-00:18:04 很辛苦
00:18:04-00:18:05 那我要怎麼做呢
00:18:05-00:18:07 做一個Agent 出來了
00:18:07-00:18:10 這兩個呢
00:18:10-00:18:11 就是AI創建的
00:18:11-00:18:12 我直接就打開這個了
00:18:16-00:18:16 所以呢
00:18:16-00:18:18 你做任何的Agent之前呢
00:18:18-00:18:21 你要先讓AI瞭解你
00:18:21-00:18:22 這是第一步
00:18:22-00:18:22 然後呢
00:18:22-00:18:24 再來寫一些規則
00:18:26-00:18:27 所以呢
00:18:27-00:18:27 你可以看到
00:18:27-00:18:29 這個案例是最最最最簡單的了
00:18:29-00:18:30 所以你們回去
00:18:30-00:18:30 你看
00:18:30-00:18:32 這個都已經做好了
00:18:32-00:18:33 直接就是
00:18:33-00:18:34 放在這裡
00:18:34-00:18:35 對吧
00:18:35-00:18:37 我來讀我老闆這個
00:18:37-00:18:39 AI費用的這個
00:18:39-00:18:40 這個CSV
00:18:40-00:18:41 然後我要創建一個VB
00:18:41-00:18:43 就讓他更懂我的
00:18:43-00:18:46 這個項目就是做這樣的公司背景啊
00:18:46-00:18:48 有會經常收到甚麼CSV啊
00:18:48-00:18:49 對吧
00:18:49-00:18:51 然後有甚麼經營目標的使用方法
00:18:51-00:18:52 然後第二個呢
00:18:52-00:18:54 就是Agent.MD
00:18:54-00:18:56 那他呢
00:18:56-00:18:57 會有甚麼限制
00:18:57-00:18:57 老闆說
00:18:57-00:18:59 每個月不能超過8000塊
00:18:59-00:19:01 數據完整度要不高
00:19:01-00:19:03 反功率不能超過兩次
00:19:03-00:19:04 然後經營的建議
00:19:04-00:19:06 你必須人工審核等等等等啊
00:19:06-00:19:07 這些都是你們
00:19:07-00:19:08 可以幫AI去寫的
00:19:08-00:19:10 所以我這邊複製完
00:19:10-00:19:11 發給AI
00:19:11-00:19:13 他就自動給我創建了這兩個
00:19:13-00:19:15 MD文件
00:19:15-00:19:16 MD文件就是Mockdown文件啊
00:19:16-00:19:18 就是計算機訊的讀文檔的
00:19:18-00:19:21 所以你每次乾一個Agent之前
00:19:21-00:19:22 先給背景
00:19:22-00:19:23 再寫第一個Harmus
00:19:23-00:19:25 就是Agent
00:19:26-00:19:27 規則
00:19:27-00:19:28 然後呢
00:19:28-00:19:29 他就搞定了
00:19:29-00:19:29 寫好了
00:19:29-00:19:31 那這個是我們說的VSCode啊
00:19:31-00:19:34 就是可以了打開不同類型的一些文件
00:19:34-00:19:36 你看CSP也可以在這裡開
00:19:36-00:19:37 數據在這
00:19:37-00:19:38 然後呢
00:19:38-00:19:39 Bitme
00:19:39-00:19:40 這個公司的背景
00:19:40-00:19:41 他都寫好了
00:19:41-00:19:43 然後數據的樣式
00:19:43-00:19:43 對吧
00:19:43-00:19:44 這代表甚麼數據
00:19:44-00:19:45 費用啊
00:19:45-00:19:46 完整度啊
00:19:46-00:19:47 反功率啊
00:19:47-00:19:47 寫好了
00:19:47-00:19:49 這就是我們說的第一
00:19:49-00:19:50 第一個Agent
00:19:50-00:19:50 不是
00:19:50-00:19:51 第一個Harmus啊
00:19:53-00:19:54 這只是給他一個案例啊
00:19:54-00:19:58 那第二個Harmus呢
00:19:58-00:19:59 就是他的Agent.MD啊
00:19:59-00:20:00 他不能
00:20:00-00:20:01 如果超出了
00:20:01-00:20:03 要報警等等啊
00:20:03-00:20:03 好
00:20:03-00:20:04 那第二周來了
00:20:04-00:20:06 老闆就給了個數據了
00:20:12-00:20:13 老闆給了數據了
00:20:13-00:20:14 我這裡呢
00:20:14-00:20:15 要點一下這個
00:20:15-00:20:16 完成了完成了
00:20:16-00:20:18 寫了兩個Harmus
00:20:18-00:20:19 然後Pump 2呢
00:20:19-00:20:20 直接展開
00:20:20-00:20:21 複製給他
00:20:21-00:20:22 對吧
00:20:22-00:20:23 這一周要做甚麼啊
00:20:23-00:20:25 因為多了一個新的數據出來
00:20:25-00:20:27 並且有一些問題呢
00:20:27-00:20:27 呃
00:20:27-00:20:28 發現了
00:20:28-00:20:30 那我們直接發給他就可以了
00:20:30-00:20:32 他會有一個自動的
00:20:32-00:20:33 一個Memory的體系
00:20:33-00:20:35 他就直接在這文件裡面
00:20:35-00:20:36 他就能讀到這兩個
00:20:36-00:20:38 八蛋文件去做
00:20:38-00:20:39 作為他的硬
00:20:40-00:20:41 硬帆的
00:20:41-00:20:42 就是硬控的
00:20:43-00:20:44 他每次
00:20:44-00:20:44 啊
00:20:44-00:20:46 運行新任務的時候呢
00:20:46-00:20:47 他都會
00:20:47-00:20:48 知道你有甚麼
00:20:48-00:20:48 Agent啊
00:20:48-00:20:49 MD啊
00:20:49-00:20:50 這種事情
00:20:53-00:20:54 好
00:20:54-00:20:56 我這裡呢
00:20:56-00:20:58 為甚麼他又這麼慢呢
00:20:58-00:21:00 我又習慣了用最貴的模型啊
00:21:00-00:21:00 所以呢
00:21:00-00:21:01 他就是比較慢的
00:21:01-00:21:02 但是呢
00:21:02-00:21:03 剛剛有人說
00:21:03-00:21:04 啊
00:21:04-00:21:06 那我用GPT不是很貴嗎
00:21:06-00:21:06 等等等等
00:21:06-00:21:08 那你要先搞清楚一個事情
00:21:08-00:21:09 我們說A到B點
00:21:09-00:21:10 對吧
00:21:10-00:21:11 你用便宜的模型
00:21:11-00:21:12 就等於
00:21:12-00:21:14 我用破拉拉再拉貨
00:21:14-00:21:14 對吧
00:21:14-00:21:15 A到B
00:21:15-00:21:16 然後呢
00:21:16-00:21:17 你的貨很多
00:21:17-00:21:17 結果破拉拉了
00:21:17-00:21:18 來回拉
00:21:18-00:21:19 來回拉拉了
00:21:19-00:21:19 幾百次
00:21:19-00:21:20 對吧
00:21:20-00:21:21 才把貨拉完了
00:21:21-00:21:22 那如果你用最貴的模型
00:21:22-00:21:24 可能就是一個大卡車
00:21:24-00:21:25 可能拉一次
00:21:25-00:21:25 就結束了
00:21:25-00:21:26 OK
00:21:26-00:21:27 所以你除了看貴以外
00:21:27-00:21:28 你還要看你的
00:21:28-00:21:29 項目
00:21:29-00:21:30 有沒有價值
00:21:30-00:21:31 再來呢
00:21:31-00:21:32 反攻率
00:21:32-00:21:32 對吧
00:21:32-00:21:33 如果反攻率高
00:21:33-00:21:35 你人投入的時間就更多了
00:21:35-00:21:36 那你是不是
00:21:36-00:21:37 你的時間的價值
00:21:37-00:21:39 是不是比這個Token還要便宜啊
00:21:39-00:21:41 這個是你要考慮的點啊
00:21:41-00:21:42 所以為甚麼昨天那個博士也說
00:21:42-00:21:43 啊
00:21:43-00:21:44 我們做科研
00:21:44-00:21:44 全都用最最
00:21:44-00:21:45 最頂級的
00:21:45-00:21:46 受害了
00:21:46-00:21:47 對吧
00:21:47-00:21:49 那因為他們真覺得這東西
00:21:49-00:21:50 反攻率低
00:21:50-00:21:51 這是關鍵的
00:21:51-00:21:52 那他推理的時候也會比較慢
00:21:52-00:21:53 而且我網絡
00:21:53-00:21:54 怎麼回事
00:21:54-00:21:55 可能太多人在用了
00:21:55-00:21:56 但沒事
00:21:56-00:21:58 我只要告訴大家步驟
00:21:58-00:21:59 就是你在乾一件事
00:21:59-00:22:01 不要直接發PAM給AI了
00:22:01-00:22:03 先讓他瞭解你
00:22:03-00:22:05 並且寫好控制條件
00:22:05-00:22:06 這才是第一步
00:22:06-00:22:06 OK
00:22:21-00:22:23 好
00:22:23-00:22:23 沒事
00:22:23-00:22:24 他待會
00:22:24-00:22:25 待會再看吧
00:22:25-00:22:26 反正他會幫你
00:22:26-00:22:27 找出問題
00:22:27-00:22:29 並且修改你的Hunnas
00:22:29-00:22:30 變成V2的版本
00:22:30-00:22:31 然後呢
00:22:31-00:22:32 你下次再來數據
00:22:32-00:22:34 你又可以重復掉用了
00:22:34-00:22:35 就不用再浪AI
00:22:35-00:22:35 又泡一次
00:22:35-00:22:36 又要說
00:22:36-00:22:37 我是甚麼甚麼
00:22:37-00:22:38 又要講一遍
00:22:38-00:22:39 那就很痛苦
00:22:39-00:22:39 OK
00:22:39-00:22:59 所以關鍵的呢
00:22:59-00:23:01 不是說這個例子
00:23:01-00:23:02 有甚麼可以學習
00:23:02-00:23:02 而是說
00:23:02-00:23:04 真正這個步驟很重要
00:23:04-00:23:05 你用PAM
00:23:05-00:23:07 去讓他寫規則
00:23:07-00:23:09 去創建這兩個文件
00:23:09-00:23:11 才是關鍵的
00:23:11-00:23:14 好
00:23:14-00:23:19 慢慢回去
00:23:19-00:23:20 你們有興趣可以嘗試一下
00:23:20-00:23:23 反正自己有新的項目想做
00:23:23-00:23:24 第一個步驟
00:23:24-00:23:26 就是要讓人家先瞭解你
00:23:26-00:23:26 好
00:23:26-00:23:33 其實這裡呢
00:23:33-00:23:39 其實這裡呢 也就是大家回去多嘗試多使用才會能夠真正學習到
00:23:39-00:23:42 所以到這裡有沒有什麼問題啊
00:23:42-00:23:45 因為接下來我們就會講一些比較技術的東西
00:23:45-00:23:50 包括多Agent 包括現在最前面的一些AI開發
00:23:50-00:23:55 OK 所以呢 到這裡我們再休息一會 有沒有問題呢 可以提
00:23:59-00:24:02 嗯嗯嗯嗯
00:24:02-00:24:03 好
00:24:03-00:24:05 沒有的話我們
00:24:05-00:24:07 好休息五到十分囉
00:24:07-00:24:07 OK
